"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"ODM","ODIN METALS LIMITED","2010-08-05","Materials",14894363
"ODY","ODYSSEY GOLD LTD","2005-11-30","Materials",57559063
"OEC","ORBITAL CORPORATION LIMITED","1989-01-24","Capital Goods",69892898
"OEL","OTTO ENERGY LIMITED","2004-12-22","Energy",45552593
"OEQ","ORION EQUITIES LIMITED","1970-11-19","Diversified Financials",6416183
"OEX","OILEX LTD","2003-10-24","Energy",25586872
"OFX","OFX GROUP LIMITED","2013-10-11","Diversified Financials",365733130
"OGA","OCEAN GROWN ABALONE LIMITED","2017-11-14","Food, Beverage & Tobacco",18066850
"OGC","OCEANAGOLD CORPORATION","2007-06-19","Materials",1710294833
"OIL","OPTISCAN IMAGING LIMITED","1997-08-08","Health Care Equipment & Services",126415423
"OKJ","OAKAJEE CORPORATION LIMITED","2008-06-11","Materials",6218330
"OKR","OKAPI RESOURCES LIMITED","2017-09-28","Materials",17071562
"OKU","OKLO RESOURCES LIMITED","2007-05-16","Materials",60483577
"OLH","OLDFIELDS HOLDINGS LIMITED","1960-06-15","Capital Goods",10062392
"OLI","OLIVER'S REAL FOOD LIMITED","2017-06-21","Consumer Services","N/A"
"OLL","OPENLEARNING LIMITED","2019-12-12","Software & Services",22143371
"OMH","OM HOLDINGS LIMITED","1998-03-12","Materials",635216070
"OML","OOH!MEDIA LIMITED","2014-12-17","Media & Entertainment",990758920
"ONE","ONEVIEW HEALTHCARE PLC","2016-03-17","Health Care Equipment & Services",171139775
"ONT","1300 SMILES LIMITED","2005-03-11","Health Care Equipment & Services",163380850
"ONX","ORMINEX LTD","1971-07-28","Materials",16984730
"OOK","OOKAMI LIMITED","2000-02-21","Software & Services",10300047
"OPH","OPHIR HIGH CONVICTION FUND","2018-12-19","Not Applic",803599995
"OPL","OPYL LIMITED",,,9789369
"OPN","OPENN NEGOTIATION LIMITED","2021-07-21","Class Pend",59435049
"OPT","OPTHEA LIMITED","1991-04-18","Pharmaceuticals, Biotechnology & Life Sciences",444019479
"OPY","OPENPAY GROUP LTD","2019-12-16","Diversified Financials",178506122
"ORA","ORORA LIMITED","2013-12-18","Materials",2890885084
"ORE","OROCOBRE LIMITED","2007-12-04","Materials",2396715825
"ORG","ORIGIN ENERGY LIMITED","1961-07-13","Energy",7696492380
"ORI","ORICA LIMITED","1961-11-28","Materials",5297670287
"ORM","ORION METALS LIMITED","2007-01-03","Materials",9266657
"ORN","ORION MINERALS LTD","2003-10-31","Materials",138147715
"ORR","ORECORP LIMITED","2011-08-04","Materials",281625592
"OSH","OIL SEARCH LIMITED","1974-01-01","Energy",8394516683
"OSL","ONCOSIL MEDICAL LTD","2005-08-15","Pharmaceuticals, Biotechnology & Life Sciences",47043254
"OSP","OSPREY MEDICAL INC","2012-05-02","Health Care Equipment & Services",35920924
"OSX","OSTEOPORE LIMITED","2019-09-23","Health Care Equipment & Services",47493636
"OTW","OVER THE WIRE HOLDINGS LIMITED","2015-12-03","Software & Services",270410695
"OVN","OVENTUS MEDICAL LIMITED","2016-07-19","Health Care Equipment & Services",25381286
"OVT","OVATO LIMITED","1992-02-13","Commercial & Professional Services",36638437
"OXX","OCTANEX LIMITED","2009-11-06","Energy",7510353
"OZG","OZGROWTH LIMITED","2008-01-02","Not Applic",87666136
"OZL","OZ MINERALS LIMITED","1970-01-01","Materials",6882499574
"OZM","OZAURUM RESOURCES LIMITED","2021-02-08","Materials",14885000
"OZZ","OZZ RESOURCES LIMITED","2021-07-05","Materials",6319163
"PAA","PHARMAUST LIMITED","2001-10-05","Pharmaceuticals, Biotechnology & Life Sciences",30406072
"PAB","PATRYS LIMITED","2007-07-13","Pharmaceuticals, Biotechnology & Life Sciences",83701458
"PAC","PACIFIC CURRENT GROUP LIMITED","1987-09-25","Diversified Financials",294807295
"PAF","PM CAPITAL ASIAN OPPORTUNITIES FUND LIMITED","2014-05-22","Not Applic",54941128
"PAI","PLATINUM ASIA INVESTMENTS LIMITED","2015-09-21","Not Applic",442282759
"PAK","PACIFIC AMERICAN HOLDINGS LIMITED","2007-12-20","Materials",5734528
"PAL","PALLA PHARMA LIMITED","2015-08-13","Pharmaceuticals, Biotechnology & Life Sciences",59907870
"PAM","PAN ASIA METALS LIMITED","2020-10-08","Materials",16457219
"PAN","PANORAMIC RESOURCES LIMITED","2001-09-14","Materials",317891671
"PAR","PARADIGM BIOPHARMACEUTICALS LIMITED..","2015-08-19","Pharmaceuticals, Biotechnology & Life Sciences",459211596
"PBH","POINTSBET HOLDINGS LIMITED","2019-06-12","Consumer Services",2526492858
"PBP","PROBIOTEC LIMITED","2006-11-14","Pharmaceuticals, Biotechnology & Life Sciences",167911689
"PBX","PACIFIC BAUXITE LIMITED","2007-05-25","Materials","N/A"
"PCG","PENGANA CAPITAL GROUP LIMITED","2001-02-28","Diversified Financials",174382097
"PCH","PROPERTY CONNECT HOLDINGS LIMITED","2000-02-23","Media & Entertainment",685863
"PCI","PERPETUAL CREDIT INCOME TRUST","2019-05-14","Not Applic",428548637
"PCK","PAINCHEK LTD","2012-05-01","Health Care Equipment & Services",65354678
"PCL","PANCONTINENTAL OIL & GAS NL","1986-09-11","Energy",12013431
"PDI","PREDICTIVE DISCOVERY LIMITED","2010-12-01","Materials",182259704
"PDL","PENDAL GROUP LIMITED","2007-12-10","Diversified Financials",3038822512
"PDN","PALADIN ENERGY LTD","1994-03-29","Energy",1178212815
"PDZ","PRAIRIE MINING LIMITED","1993-09-06","Materials",65081200
"PE1","PENGANA PRIVATE EQUITY TRUST","2019-04-30","Not Applic",304904239
"PEC","PERPETUAL RESOURCES LIMITED","2013-02-28","Materials",59593829
"PEK","PEAK RESOURCES LIMITED","2006-11-29","Materials",148262898
"PEN","PENINSULA ENERGY LIMITED","1994-05-26","Energy",134462455
"PET","PHOSLOCK ENVIRONMENTAL TECHNOLOGIES LIMITED","2002-08-16","Commercial & Professional Services","N/A"
"PEX","PEEL MINING LIMITED","2007-05-17","Materials",104524439
"PF1","PATHFINDER RESOURCES LTD","2020-11-04","Materials",18259971
"PFG","PRIME FINANCIAL GROUP LIMITED","2004-12-07","Diversified Financials",20508856
"PFP","PROPEL FUNERAL PARTNERS LIMITED","2017-11-23","Consumer Services",366801879
"PFT","PURE FOODS TASMANIA LIMITED","2005-12-19","Food, Beverage & Tobacco",34156946
"PG1","PEARL GLOBAL LIMITED","2006-11-02","Commercial & Professional Services",17111963
"PGC","PARAGON CARE LIMITED","1999-10-15","Health Care Equipment & Services",91229029
"PGD","PEREGRINE GOLD LTD","2021-03-31","Materials",17657334
"PGF","PM CAPITAL GLOBAL OPPORTUNITIES FUND LIMITED","2013-12-12","Not Applic",529206653
"PGG","PARTNERS GROUP GLOBAL INCOME FUND","2019-09-26","Not Applic",519998095
"PGH","PACT GROUP HOLDINGS LTD","2013-12-17","Materials",1190217839
"PGL","PROSPA GROUP LIMITED.","2019-06-11","Diversified Financials",175178519
"PGM","PLATINA RESOURCES LIMITED","2006-05-29","Materials",33881823
"PGO","PACGOLD LIMITED","2021-07-08","Materials",13082056
"PGY","PILOT ENERGY LIMITED","2006-04-20","Energy","N/A"
"PH2","PURE HYDROGEN CORPORATION LIMITED","2013-03-12","Energy",54928276
"PHL","PROPELL HOLDINGS LIMITED","2021-04-14","Diversified Financials",11494819
"PIA","PENGANA INTERNATIONAL EQUITIES LIMITED","2004-03-19","Not Applic",344355098
"PIC","PERPETUAL EQUITY INVESTMENT COMPANY LIMITED","2014-12-18","Not Applic",477551052
"PIL","PEPPERMINT INNOVATION LIMITED","2008-05-29","Software & Services",27115400
"PIQ","PROTEOMICS INTERNATIONAL LABORATORIES LTD","2015-04-16","Pharmaceuticals, Biotechnology & Life Sciences",107309993
"PKD","PARKD LTD","2017-12-06","Commercial & Professional Services",3607205
"PKO","PEAKO LIMITED","2009-12-02","Materials",10001725
"PKS","PKS HOLDINGS LIMITED","2019-06-06","Health Care Equipment & Services",101435130
"PL8","PLATO INCOME MAXIMISER LIMITED.","2017-05-05","Not Applic",550536614
"PLL","PIEDMONT LITHIUM INC.","1983-03-28","Materials",1079870511
"PLS","PILBARA MINERALS LIMITED","2007-09-19","Materials",4449937616
"PLT","PLENTI GROUP LIMITED","2020-09-23","Diversified Financials",270277650
"PLY","PLAYSIDE STUDIOS LIMITED","2020-12-17","Media & Entertainment",109042140
"PMC","PLATINUM CAPITAL LIMITED","1994-06-29","Not Applic",442662863
"PME","PRO MEDICUS LIMITED","2000-10-10","Health Care Equipment & Services",6061987260
"PMV","PREMIER INVESTMENTS LIMITED","1987-12-15","Retailing",4379879350
"PNC","PIONEER CREDIT LIMITED","2014-05-01","Diversified Financials",33895649
"PNI","PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED","2007-06-19","Diversified Financials",2332748221
"PNL","PARINGA RESOURCES LIMITED","2012-12-20","Energy","N/A"
"PNM","PACIFIC NICKEL MINES LIMITED","2002-11-26","Materials",12034122
"PNN","PEPINNINI MINERALS LIMITED","2005-04-15","Materials",13224459
"PNR","PANTORO LIMITED","1987-05-21","Materials",309979714
"PNV","POLYNOVO LIMITED","1998-11-26","Health Care Equipment & Services",1402142653
"PNX","PNX METALS LIMITED","2008-02-12","Materials",32869742
"PO3","PURIFLOH LIMITED","2010-12-30","Utilities",42556722
"POD","PODIUM MINERALS LIMITED","2018-02-28","Materials",168218209
"POL","POLYMETALS RESOURCES LTD","2021-06-29","Class Pend",11518800
"POS","POSEIDON NICKEL LIMITED","1993-11-29","Materials",278132070
"POW","PROTEAN ENERGY LIMITED","2006-12-21","Capital Goods",5855517
"PPC","PEET LIMITED","2004-08-05","Real Estate",555795562
"PPE","PEOPLE INFRASTRUCTURE LTD","2017-11-22","Commercial & Professional Services",401148607
"PPG","PRO-PAC PACKAGING LIMITED","2005-04-27","Materials",154110384
"PPH","PUSHPAY HOLDINGS LIMITED","2016-10-12","Software & Services",1827611967
"PPK","PPK GROUP LIMITED","1994-12-21","Capital Goods",1242272512
"PPL","PUREPROFILE LTD","2015-07-29","Media & Entertainment",30683796
"PPM","PEPPER MONEY LIMITED","2021-05-25","Banks",1076789475
"PPS","PRAEMIUM LIMITED","2006-05-11","Software & Services",546774326
"PPT","PERPETUAL LIMITED","1964-06-24","Diversified Financials",2166190853
"PPY","PAPYRUS AUSTRALIA LIMITED","2005-04-15","Materials",8981924
"PRL","PROVINCE RESOURCES LTD","1994-02-09","Materials",150141574
"PRM","PROMINENCE ENERGY LIMITED","1992-01-23","Energy",12038751
"PRN","PERENTI GLOBAL LIMITED","1994-01-06","Materials",598650938
"PRO","PROPHECY INTERNATIONAL HOLDINGS LIMITED","1998-04-22","Software & Services",37793001
"PRS","PROSPECH LIMITED.","2020-12-04","Materials",11478817
"PRT","PRIME MEDIA GROUP LIMITED","1984-08-30","Media & Entertainment",76929364
"PRU","PERSEUS MINING LIMITED","2004-09-22","Materials",1889533138
"PRX","PRODIGY GOLD NL","1986-08-21","Materials",22644477
"PSA","PETSEC ENERGY LIMITED","1980-12-01","Energy","N/A"
"PSC","PROSPECT RESOURCES LIMITED","2009-12-04","Materials",102857110
"PSI","PSC INSURANCE GROUP LIMITED","2015-12-15","Insurance",1076985396
"PSL","PATERSON RESOURCES LTD","2006-10-18","Materials",19339219
"PSQ","PACIFIC SMILES GROUP LIMITED","2014-11-21","Health Care Equipment & Services",389379929
"PTB","PTB GROUP LIMITED","2006-12-18","Capital Goods",92858232
"PTG","PROPTECH GROUP LIMITED","2015-12-10","Software & Services",103455581
"PTL","PENTAL LIMITED","2000-08-29","Household & Personal Products",59269025
"PTM","PLATINUM ASSET MANAGEMENT LIMITED","2007-05-23","Diversified Financials",2510985692
"PTR","PETRATHERM LTD","2004-07-27","Materials",13128575
"PTX","PRESCIENT THERAPEUTICS LIMITED","1986-12-19","Pharmaceuticals, Biotechnology & Life Sciences",147597801
"PUA","PEAK MINERALS LIMITED","2003-07-17","Materials",11064648
"PUR","PURSUIT MINERALS LTD","2008-09-10","Materials",54398821
"PVE","PO VALLEY ENERGY LIMITED","2004-12-14","Energy",28186016
"PVL","POWERHOUSE VENTURES LIMITED","2016-10-12","Diversified Financials",9274318
"PVS","PIVOTAL SYSTEMS CORPORATION","2018-07-02","Semiconductors & Semiconductor Equipment",169368709
"PVW","PVW RESOURCES LIMITED","2009-11-12","Materials",10307385
"PWH","PWR HOLDINGS LIMITED","2015-11-18","Automobiles & Components",689236845
"PWN","PARKWAY MINERALS NL","2011-05-13","Materials","N/A"
"PWNCA","PARKWAY MINERALS NL","2011-05-13","Materials","N/A"
"PWR","PETER WARREN AUTOMOTIVE HOLDINGS LIMITED","2021-04-27","Retailing",576281002
"PX1","PLEXURE GROUP LIMITED","2020-11-25","Software & Services",117075619
"PXA","PEXA GROUP LIMITED","2021-07-01","Real Estate",3085468711
"PXS","PHARMAXIS LTD","2003-11-10","Pharmaceuticals, Biotechnology & Life Sciences",37139781
"PXX","POLARX LIMITED","2012-12-21","Materials",22183152
"PYC","PYC THERAPEUTICS LIMITED","2005-03-30","Pharmaceuticals, Biotechnology & Life Sciences",477138915
"PYG","PAYGROUP LIMITED","2018-05-29","Software & Services",56353782
"PYR","PAYRIGHT LIMITED","2020-12-23","Diversified Financials",43213975
"QAN","QANTAS AIRWAYS LIMITED","1995-07-31","Transportation",8543782482
"QBE","QBE INSURANCE GROUP LIMITED","1973-06-28","Insurance",15607234834
"QEM","QEM LIMITED","2018-10-19","Materials",16500000
"QFE","QUICKFEE LIMITED","2019-07-11","Diversified Financials",51106285
"QGL","QUANTUM GRAPHITE LIMITED","2014-01-06","Materials","N/A"
"QHL","QUICKSTEP HOLDINGS LIMITED","2005-10-17","Capital Goods",39394814
"QIP","QANTM INTELLECTUAL PROPERTY LIMITED","2016-08-31","Commercial & Professional Services",156468959
"QML","QMINES LIMITED","2021-05-06","Materials",36533007
"QPM","QUEENSLAND PACIFIC METALS LIMITED","2008-03-14","Materials",174267898
"QRI","QUALITAS REAL ESTATE INCOME FUND","2018-11-27","Not Applic",433137422
"QTG","Q TECHNOLOGY GROUP LIMITED","1987-12-02","Technology Hardware & Equipment","N/A"
"QTM","QUANTUM HEALTH GROUP LIMITED","1993-08-30","Health Care Equipment & Services",69955114
"QUB","QUBE HOLDINGS LIMITED","2007-01-04","Transportation",5568323448
"QUE","QUESTE COMMUNICATIONS LIMITED","1998-11-11","Diversified Financials",1488978
"QVE","QV EQUITIES LIMITED","2014-08-22","Not Applic",234018902
"QXR","QX RESOURCES LIMITED","2011-02-17","Materials",8662710
"R3D","R3D RESOURCES LIMITED","2004-12-17","Media & Entertainment","N/A"
"RAC","RACE ONCOLOGY LTD","2016-07-13","Pharmaceuticals, Biotechnology & Life Sciences",537171136
"RAG","RAGNAR METALS LIMITED","2005-03-31","Materials",22716203
"RAN","RANGE INTERNATIONAL LIMITED","2016-07-22","Materials",5867829
"RAP","RESAPP HEALTH LIMITED","2005-01-12","Health Care Equipment & Services",37804671
"RAS","RAGUSA MINERALS LTD","2010-07-13","Diversified Financials",9241943
"RBD","RESTAURANT BRANDS NEW ZEALAND LIMITED","2017-09-28","Consumer Services",1540767759
"RBL","REDBUBBLE LIMITED","2016-05-16","Retailing",1042493050
"RBR","RBR GROUP LIMITED","2007-02-02","Materials",8332871
"RBX","RESOURCE BASE LIMITED.","2021-07-12","Materials",7410496
"RCE","RECCE PHARMACEUTICALS LTD","2016-01-15","Pharmaceuticals, Biotechnology & Life Sciences",185942296
"RCL","READCLOUD LIMITED","2018-02-07","Software & Services",39044792
"RCP","REDBANK COPPER LIMITED","1993-12-22","Materials",31970345
"RCR","RINCON RESOURCES LIMITED","2020-12-21","Materials",15657711
"RCT","REEF CASINO TRUST","1994-02-11","Consumer Services",119522486
"RCW","RIGHTCROWD LIMITED","2017-09-18","Software & Services",87150242
"RD1","REGISTRY DIRECT LIMITED","2017-11-01","Software & Services",5423680
"RDC","REDCAPE HOTEL GROUP","2018-11-30","Consumer Services",546673243
"RDG","RESOURCE DEVELOPMENT GROUP LIMITED","2011-05-19","Capital Goods",126455232
"RDH","REDHILL EDUCATION LIMITED","2010-09-21","Consumer Services",42966523
"RDM","RED METAL LIMITED","2003-10-27","Materials",31926927
"RDN","RAIDEN RESOURCES LIMITED","1987-03-12","Materials",31216037
"RDS","REDSTONE RESOURCES LIMITED","2006-08-03","Materials",8627989
"RDY","READYTECH HOLDINGS LIMITED","2019-04-17","Software & Services",246180960
"REA","REA GROUP LTD","1999-12-01","Media & Entertainment",21166499336
"RED","RED 5 LIMITED","1996-10-16","Materials",410606568
"REE","RAREX LIMITED","2007-07-11","Materials",37874859
"REF","REVERSE CORP LIMITED","2005-12-16","Telecommunication Services","N/A"
"REG","REGIS HEALTHCARE LIMITED","2014-10-07","Health Care Equipment & Services",575994797
"REH","REECE LIMITED","1974-01-01","Capital Goods",14734899169
"RES","RESOURCE GENERATION LIMITED","2003-10-31","Energy","N/A"
"REX","REGIONAL EXPRESS HOLDINGS LIMITED","2005-11-09","Transportation",132736022
"REY","REY RESOURCES LIMITED","2006-06-05","Energy",50862609
"REZ","RESOURCES & ENERGY GROUP LIMITED","2005-03-11","Materials",12950424
"RF1","REGAL INVESTMENT FUND","2019-06-17","Not Applic",474651127
"RFF","RURAL FUNDS GROUP","2014-02-14","Real Estate",900864133
"RFG","RETAIL FOOD GROUP LIMITED","2006-06-22","Consumer Services",197168853
"RFR","RAFAELLA RESOURCES LTD.","2018-07-26","Materials",15465818
"RFT","RECTIFIER TECHNOLOGIES LTD","1994-09-22","Capital Goods",38519617
"RFX","REDFLOW LIMITED","2010-12-14","Capital Goods",69617547
"RGI","ROTO-GRO INTERNATIONAL LIMITED","2017-02-10","Capital Goods",12867840
"RGL","RIVERSGOLD LIMITED","2017-10-10","Materials",14545519
"RGS","REGENEUS LTD","2013-09-19","Pharmaceuticals, Biotechnology & Life Sciences",22765377
"RHC","RAMSAY HEALTH CARE LIMITED","1997-09-24","Health Care Equipment & Services",14707938363
"RHI","RED HILL IRON LIMITED","2006-02-14","Materials",65865964
"RHP","RHIPE LIMITED","2005-03-17","Software & Services",404299194
"RHT","RESONANCE HEALTH LIMITED","1987-10-23","Health Care Equipment & Services",76089684
"RHY","RHYTHM BIOSCIENCES LIMITED","2017-12-07","Health Care Equipment & Services",195094833
"RIC","RIDLEY CORPORATION LIMITED","1987-08-13","Food, Beverage & Tobacco",335469724
"RIE","RIEDEL RESOURCES LIMITED","2011-01-31","Materials",13477899
"RIM","RIMFIRE PACIFIC MINING NL","1997-03-04","Materials",16256203
"RIO","RIO TINTO LIMITED","1962-09-19","Materials",46724985108
"RKN","RECKON LIMITED","1999-07-19","Software & Services",103664771
"RLC","REEDY LAGOON CORPORATION LIMITED","2007-06-22","Materials",7050392
"RLG","ROOLIFE GROUP LTD","2016-11-16","Media & Entertainment",19612593
"RLT","RENERGEN LIMITED","2019-06-06","Energy",193202953
"RMC","RESIMAC GROUP LTD","2001-03-19","Banks",931162171
"RMD","RESMED INC","1999-11-25","Health Care Equipment & Services",50627373064
"RMG","RMG LIMITED","1996-04-11","Materials","N/A"
"RMI","RESOURCE MINING CORPORATION LIMITED","1985-02-14","Materials",4888411
"RML","RESOLUTION MINERALS LTD","2017-09-22","Materials",11191990
"RMS","RAMELIUS RESOURCES LIMITED","2003-03-31","Materials",1383829352
"RMT","RMA ENERGY LIMITED","2007-06-07","Materials","N/A"
"RMX","RED MOUNTAIN MINING LIMITED","2011-09-01","Materials",11939814
"RMXNC","RED MOUNTAIN MINING LIMITED","2011-09-01","Materials",11939814
"RMY","RMA GLOBAL LIMITED","2018-07-05","Media & Entertainment",122236707
"RND","RAND MINING LIMITED","1985-08-15","Materials",84745182
"RNE","RENU ENERGY LIMITED","2002-09-12","Utilities",7700250
"RNO","RHINOMED LIMITED","2007-09-21","Pharmaceuticals, Biotechnology & Life Sciences",50761826
"RNT","RENT.COM.AU LIMITED","1994-05-26","Media & Entertainment",51695050
"RNU","RENASCOR RESOURCES LIMITED","2010-12-15","Energy",125873681
"RNX","RENEGADE EXPLORATION LIMITED","2006-11-14","Materials",5277760
"ROG","RED SKY ENERGY LIMITED.","2007-05-23","Energy",37131378
"ROO","ROOTS SUSTAINABLE AGRICULTURAL TECHNOLOGIES LTD","2017-12-07","Capital Goods",6477407
"RPG","RAPTIS GROUP LIMITED","1986-07-17","Real Estate",1904591
"RPM","RPM AUTOMOTIVE GROUP LIMITED","1983-11-10","Automobiles & Components",41821713
"RRL","REGIS RESOURCES LIMITED","1987-02-19","Materials",1930772997
